"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.327083396E-4,-2.264191589E0,4.428091736E0,9.367370453E0,1.060576207E1
9.615291667E-3,-2.259850616E0,4.614304504E0,9.377698975E0,1.069298690E1
1.956329167E-2,-2.256707153E0,4.787644043E0,8.966054993E0,1.041174360E1
2.951229167E-2,-2.170785828E0,4.715643768E0,8.259224854E0,9.755224366E0
3.946029166E-2,-1.994901581E0,4.561763763E0,7.874075775E0,9.316136016E0
4.940829166E-2,-1.818568268E0,4.381388855E0,7.655081177E0,9.005777405E0
5.935629166E-2,-1.685644684E0,4.231550446E0,7.738457794E0,8.979484741E0
6.930429166E-2,-1.653760986E0,4.201163635E0,7.871980133E0,9.074842836E0
7.925229166E-2,-1.731748810E0,4.234244843E0,8.072263641E0,9.278427864E0
8.920029167E-2,-1.834734650E0,4.302053833E0,8.340056763E0,9.561927903E0
9.914829167E-2,-1.923799438E0,4.363875275E0,8.373736725E0,9.636590602E0
1.090962917E-1,-1.941462708E0,4.342918854E0,8.422235870E0,9.672863003E0
1.190442917E-1,-1.947300568E0,4.276906128E0,8.395441589E0,9.621192494E0
1.289922917E-1,-1.953138428E0,4.267775116E0,8.376131744E0,9.601470573E0
1.389402917E-1,-1.961970062E0,4.278403015E0,8.453520813E0,9.675539934E0
1.488882917E-1,-2.011816406E0,4.266577606E0,8.519683228E0,9.738382413E0
1.588362917E-1,-2.042053528E0,4.264032898E0,8.579558716E0,9.795957683E0
1.687842917E-1,-2.039059753E0,4.254003754E0,8.621471558E0,9.827720205E0
1.787332917E-1,-2.022893372E0,4.233496399E0,8.627908173E0,9.821170439E0
1.886812917E-1,-2.020198975E0,4.245321808E0,8.643176422E0,9.839129017E0
1.986292917E-1,-2.055076447E0,4.289030914E0,8.682544556E0,9.899783096E0
2.085772917E-1,-2.062411194E0,4.282145233E0,8.673862610E0,9.890712831E0
2.185252917E-1,-2.090103607E0,4.273313599E0,8.723110199E0,9.935914339E0
2.284732917E-1,-2.064057770E0,4.284989319E0,8.735684052E0,9.946539287E0
2.384212917E-1,-2.152074738E0,4.317022705E0,8.694070587E0,9.942583874E0
2.483692917E-1,-2.164498901E0,4.543202362E0,8.982520752E0,1.029618484E1
2.583172917E-1,-2.305056610E0,4.861141205E0,9.141190796E0,1.060685387E1
2.682652917E-1,-2.494562531E0,5.012626190E0,8.962462463E0,1.056763914E1
2.782132917E-1,-2.407743073E0,5.058730316E0,8.881630554E0,1.050101616E1
2.881612917E-1,-2.454595642E0,5.172194366E0,8.933422852E0,1.061049849E1
2.981059167E-1,-2.128423920E0,5.001399536E0,9.226213989E0,1.070827765E1
3.080539167E-1,-2.014061737E0,4.546495514E0,9.751771088E0,1.094641976E1
3.180019167E-1,-1.824855194E0,4.293072510E0,1.022897873E1,1.124244519E1
