"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-7.823749911E-4,-2.028431854E0,3.412154388E0,8.968000946E0,9.807261306E0
9.167625001E-3,-2.082170105E0,3.461701355E0,8.964857483E0,9.832979117E0
1.911662500E-2,-2.094893646E0,3.474574585E0,8.987909546E0,9.861225377E0
2.906662501E-2,-2.117945709E0,3.470832367E0,8.974736938E0,9.852830784E0
3.901562501E-2,-2.119891663E0,3.504362640E0,8.942104797E0,9.835432699E0
4.896562500E-2,-2.096091156E0,3.477418671E0,8.969647522E0,9.845842545E0
5.891562501E-2,-2.027084656E0,3.364553375E0,9.017996979E0,9.836338807E0
6.886462501E-2,-2.002685394E0,3.308869171E0,9.047186279E0,9.839255234E0
7.881462500E-2,-2.005230103E0,3.383264465E0,9.037007446E0,9.855705444E0
8.876362500E-2,-2.045496368E0,3.462599487E0,9.054071960E0,9.907061606E0
9.871362500E-2,-2.093995514E0,3.471580811E0,9.044342194E0,9.911448746E0
1.086626250E-1,-2.124532013E0,3.439248047E0,9.046886902E0,9.908997226E0
1.186126250E-1,-2.111808472E0,3.430566101E0,9.051826630E0,9.907778970E0
1.285616250E-1,-2.094145203E0,3.426225128E0,9.104816437E0,9.950987142E0
1.385116250E-1,-2.061662750E0,3.382815399E0,9.136849823E0,9.958710660E0
1.484606250E-1,-2.068698120E0,3.377725983E0,9.169332275E0,9.988253056E0
1.584106250E-1,-2.100432129E0,3.401526489E0,9.150621185E0,9.985793191E0
1.683606250E-1,-2.095043335E0,3.408262482E0,9.126072235E0,9.964469587E0
1.783096250E-1,-2.087409210E0,3.408112793E0,9.110055542E0,9.948146661E0
1.882596250E-1,-2.040706329E0,3.389252014E0,9.094637604E0,9.917859884E0
1.982086250E-1,-1.993404694E0,3.366948395E0,9.083261261E0,9.890178911E0
2.081586250E-1,-1.969005432E0,3.359014893E0,9.048982544E0,9.851093773E0
2.181076250E-1,-1.943558350E0,3.310964813E0,9.033265228E0,9.815283375E0
2.280576250E-1,-1.926942902E0,3.297792206E0,9.021888885E0,9.797092499E0
2.380066250E-1,-1.953437805E0,3.307971039E0,9.036109314E0,9.818852437E0
2.479566250E-1,-2.013762360E0,3.312162323E0,9.035061493E0,9.831479760E0
2.579056250E-1,-2.074386292E0,3.328927460E0,9.047036591E0,9.860715369E0
2.678556250E-1,-2.132465515E0,3.348985748E0,9.074279938E0,9.904830695E0
2.778056250E-1,-2.123035126E0,3.359314270E0,9.085057526E0,9.916175712E0
2.877546250E-1,-2.084116058E0,3.304378510E0,9.136700134E0,9.936888166E0
2.977046250E-1,-1.995051270E0,3.203488312E0,9.187294922E0,9.932218026E0
3.076536250E-1,-1.886526947E0,3.115621033E0,9.235345001E0,9.927621852E0
3.176036250E-1,-1.848206635E0,3.096161499E0,9.243727570E0,9.922125940E0
3.275526250E-1,-1.853445740E0,3.096610565E0,9.237590332E0,9.917526569E0
3.375026250E-1,-1.797162781E0,3.035836945E0,9.262139282E0,9.911272577E0
3.474516250E-1,-1.740879822E0,2.969075775E0,9.283245392E0,9.900743332E0
3.574016250E-1,-1.695224762E0,2.980003052E0,9.332642670E0,9.942455651E0
3.673516250E-1,-1.634002075E0,3.019371185E0,9.267079010E0,9.882576512E0
3.773006250E-1,-1.616937561E0,3.017125854E0,9.257199554E0,9.869816568E0
3.872506250E-1,-1.634002075E0,2.966082001E0,9.275162201E0,9.874018385E0
3.971996250E-1,-1.668879547E0,2.932402039E0,9.277257843E0,9.871760418E0
4.071496250E-1,-1.673070831E0,2.905757446E0,9.275611267E0,9.863039933E0
4.170986250E-1,-1.656904449E0,2.880460052E0,9.296567688E0,9.872616332E0
4.270486250E-1,-1.680704956E0,2.892884216E0,9.349108429E0,9.929721882E0
4.369976250E-1,-1.652413788E0,2.935695190E0,9.347611542E0,9.936126967E0
4.469476250E-1,-1.638941803E0,2.974464569E0,9.271869049E0,9.874265814E0
4.568966250E-1,-1.676214294E0,3.009491730E0,9.217382355E0,9.840064649E0
4.668466250E-1,-1.660047913E0,2.987337799E0,9.166637878E0,9.783005478E0
4.767966250E-1,-1.600172424E0,2.957549744E0,9.130712585E0,9.730239699E0
4.867456250E-1,-1.581910400E0,2.972668304E0,9.109456787E0,9.711920527E0
4.966956250E-1,-1.577120361E0,2.979703674E0,9.147477722E0,9.748963601E0
5.066446250E-1,-1.552122345E0,2.975811768E0,9.199868774E0,9.792963030E0
5.165946250E-1,-1.531614990E0,2.958447876E0,9.198521576E0,9.783202824E0
5.265436250E-1,-1.538800049E0,2.907104645E0,9.231902161E0,9.800366346E0
5.364936250E-1,-1.601669312E0,2.910098419E0,9.296867065E0,9.872474595E0
5.464426250E-1,-1.629661102E0,2.990481262E0,9.331744537E0,9.933792307E0
5.563957500E-1,-1.648970947E0,3.033890991E0,9.356143799E0,9.973014916E0
5.663447500E-1,-1.649569702E0,2.994522858E0,9.379644928E0,9.983285347E0
5.762947500E-1,-1.635498962E0,2.965183868E0,9.434281311E0,1.002361392E1
5.862447500E-1,-1.614243164E0,2.956801300E0,9.473799133E0,1.005491546E1
5.961937500E-1,-1.591191101E0,2.981499939E0,9.559870148E0,1.013964241E1
6.061437500E-1,-1.578168182E0,3.033591614E0,9.630223846E0,1.021932014E1
6.160927500E-1,-1.550775146E0,3.080294495E0,9.648934937E0,1.024670987E1
6.260427500E-1,-1.538800049E0,3.107238464E0,9.678573303E0,1.028093467E1
6.359917500E-1,-1.567091217E0,3.147355042E0,9.649384003E0,1.026996739E1
6.459417500E-1,-1.599573669E0,3.213068390E0,9.576335907E0,1.022685943E1
6.558907500E-1,-1.602717133E0,3.230432281E0,9.501491547E0,1.016281145E1
6.658407500E-1,-1.582060089E0,3.212918701E0,9.381890259E0,1.004219227E1
