"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.796416695E-3,-1.874701538E0,4.437222748E0,9.109905853E0,1.030503936E1
1.276341669E-2,-1.780996399E0,4.434079285E0,8.597970428E0,9.836569664E0
2.273041668E-2,-1.479673004E0,4.610562286E0,8.423433380E0,9.716014960E0
3.269741667E-2,-1.076112213E0,4.557123413E0,8.423732758E0,9.637669058E0
4.266341671E-2,-1.182840271E0,4.311933289E0,8.412057037E0,9.526520004E0
5.263041670E-2,-9.527687073E-1,4.350702667E0,8.631201324E0,9.712570114E0
6.259741669E-2,-1.219813385E0,4.249962158E0,9.031019897E0,1.005531916E1
7.256441668E-2,-1.307530975E0,4.263284454E0,9.231004028E0,1.025166655E1
8.253141667E-2,-1.273851013E0,4.239184570E0,9.757459259E0,1.071454121E1
9.249841666E-2,-1.087338867E0,3.975133667E0,1.018227585E1,1.098465907E1
1.024654167E-1,-3.876937866E-1,3.800446930E0,1.103774689E1,1.168013526E1
1.124324167E-1,-1.338516541E0,3.579506378E0,1.106184677E1,1.170337329E1
1.223994167E-1,-1.706152039E0,3.470682678E0,1.126946503E1,1.191458917E1
1.323664167E-1,-6.789880371E-1,3.107388153E0,1.119222565E1,1.163541150E1
1.423334167E-1,5.069956970E-1,3.301235046E0,1.120375168E1,1.169099008E1
1.523004167E-1,1.343306580E0,3.017275543E0,1.058044785E1,1.108396594E1
1.622674167E-1,1.422042847E0,2.532583466E0,9.392518158E0,9.831357089E0
1.722344167E-1,2.142644348E0,2.664309540E0,8.765322418E0,9.408525242E0
1.822014167E-1,2.576591949E0,2.542013855E0,8.461154938E0,9.202814971E0
1.921684167E-1,2.279759216E0,1.966161346E0,8.391699371E0,8.915363754E0
2.021354167E-1,2.405647430E0,1.446142731E0,8.221203918E0,8.687155013E0
2.121024167E-1,2.329755249E0,1.040785675E0,8.151448975E0,8.541493706E0
2.220694167E-1,2.274819489E0,6.327342224E-1,8.380921783E0,8.707181303E0
2.320364167E-1,2.665357361E0,-1.275946655E0,9.962981873E0,1.039197659E1
2.420034167E-1,3.481011200E0,-3.342249756E0,1.537467819E1,1.611424221E1
2.519704167E-1,5.502257996E0,-8.569679260E-1,1.382300491E1,1.490250656E1
2.619364167E-1,7.488926697E-1,2.177970886E-1,9.288185120E0,9.320872203E0
2.719034167E-1,-1.637744293E0,3.887416077E-1,8.185877380E0,8.357147533E0
2.818704167E-1,-5.568420410E-2,3.126997375E-1,7.044351196E0,7.051508040E0
2.918374167E-1,1.166673889E0,-3.588038635E-1,6.169270935E0,6.288860950E0
3.018044167E-1,1.811383209E0,-1.072669373E0,7.143445129E0,7.447183161E0
3.117714167E-1,3.519930267E0,-1.184037781E0,7.542515259E0,8.407222549E0
3.217384167E-1,6.093827820E0,1.646575928E-2,7.114555206E0,9.367598647E0
3.317054167E-1,8.239915009E0,5.881269836E-1,6.266867981E0,1.036897907E1
3.416724167E-1,7.959847412E0,2.082170105E-1,6.182742920E0,1.008111279E1
