"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.952624996E-3,-2.882705383E0,4.391567688E0,7.959997101E0,9.537159479E0
1.192062499E-2,-2.652783508E0,4.660258942E0,7.825876007E0,9.486812374E0
2.188962500E-2,-2.884801025E0,4.821324005E0,8.330027618E0,1.004771627E1
3.185762500E-2,-2.657423859E0,5.079686737E0,8.672066345E0,1.039566514E1
4.182662501E-2,-2.177821198E0,5.059628448E0,9.460027771E0,1.094691147E1
5.179462500E-2,-2.054328003E0,4.584516449E0,9.968520355E0,1.116286042E1
6.176362501E-2,-2.133064270E0,4.261637878E0,9.904154205E0,1.099107780E1
7.173162501E-2,-2.120041351E0,4.289330292E0,9.931397552E0,1.102386443E1
8.170062501E-2,-2.064955902E0,4.341272278E0,1.018167709E1,1.125953979E1
9.166862501E-2,-1.912273407E0,4.425846405E0,1.014829651E1,1.123533836E1
1.016366250E-1,-1.704355774E0,4.627776489E0,1.008348129E1,1.122487144E1
1.116056250E-1,-1.442999268E0,4.725523224E0,9.996811523E0,1.115119084E1
1.215736250E-1,-3.420387268E-1,4.901108093E0,1.037941589E1,1.148347183E1
1.315426250E-1,-1.613644409E-1,4.225413208E0,1.109417953E1,1.187269872E1
1.415106250E-1,-5.167254639E-1,3.399580536E0,1.130958160E1,1.182077785E1
1.514796250E-1,2.390528870E-1,3.456761627E0,1.177960419E1,1.227865718E1
1.614476250E-1,2.179467773E-1,3.099005585E0,1.222747284E1,1.261595928E1
1.714156250E-1,-8.981323242E-2,2.827170868E0,1.303384598E1,1.333724494E1
1.813846250E-1,2.739303589E-2,2.987188110E0,1.394260620E1,1.425904313E1
1.913526250E-1,2.664459229E-1,2.876418457E0,1.424288177E1,1.453287507E1
2.013216250E-1,8.306227112E-1,2.628234558E0,1.381117950E1,1.408354466E1
2.112896250E-1,1.429676971E0,2.279160461E0,1.265573227E1,1.293855123E1
2.212586250E-1,1.766027527E0,1.680704956E0,1.110346024E1,1.136795723E1
2.312266250E-1,1.574126587E0,1.267115021E0,9.756411438E0,9.963484287E0
2.411946250E-1,1.670376434E0,1.096170502E0,8.426576843E0,8.660193098E0
2.511636250E-1,2.069446564E0,6.201603699E-1,7.694898376E0,7.992413214E0
2.611316250E-1,2.033820648E0,-5.873785400E-1,6.867419128E0,7.186298454E0
2.711006250E-1,2.216889954E0,-8.186476135E-1,7.645950165E0,8.002833180E0
2.810686250E-1,1.050066376E0,4.020639038E-1,9.829309845E0,9.893413304E0
2.910376250E-1,-1.225950623E-1,1.889969788E0,9.152267761E0,9.346176786E0
3.010056250E-1,1.020727386E0,8.271798706E-1,1.122620499E1,1.130282218E1
3.109736250E-1,1.573527832E0,-2.511776733E-1,1.029364426E1,1.041624655E1
3.209426250E-1,2.743345184E0,-4.682263184E-1,1.022089554E1,1.059301111E1
3.309106250E-1,3.345542908E0,-7.786807251E-1,1.016146912E1,1.072634400E1
3.408796250E-1,3.437900848E0,-8.881031799E-1,9.131311340E0,9.797384156E0
3.508476250E-1,3.602259064E0,-8.550219727E-1,7.364086304E0,8.242396498E0
3.608166250E-1,3.685935059E0,-3.921844482E-1,4.740492096E0,6.017656621E0
3.707846250E-1,3.665727081E0,-2.170486450E-1,2.685415649E0,4.549299106E0
3.807526250E-1,4.011208649E0,-3.414399719E-1,1.267713776E0,4.220601177E0
3.907216250E-1,4.151766357E0,1.330583038E0,1.649869080E0,4.661510816E0
