"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.527583340E-3,2.930755463E0,4.598736877E0,5.685476990E0,7.877966556E0
1.446858334E-2,2.295775909E0,4.644092560E0,5.510041809E0,7.562985090E0
2.440958333E-2,1.909728699E0,4.552483063E0,6.089935913E0,7.839610014E0
3.435058333E-2,1.647623749E0,4.648433533E0,7.117399292E0,8.659097586E0
4.429158333E-2,1.754052429E0,4.934937744E0,7.537725220E0,9.178649789E0
5.423258332E-2,2.317480774E0,5.303770752E0,7.711513824E0,9.641999108E0
6.417358332E-2,3.498674469E0,5.802084503E0,8.364006958E0,1.076389892E1
7.411458332E-2,4.562961273E0,6.277795258E0,9.125473480E0,1.197938208E1
8.405558331E-2,4.619094543E0,6.380631409E0,9.318721619E0,1.220192871E1
9.399658334E-2,3.569776611E0,5.983357544E0,8.582402802E0,1.105447920E1
1.039375833E-1,1.997745667E0,5.955066376E0,7.705825653E0,9.941506540E0
1.138785833E-1,2.039209442E0,7.206763458E0,8.355025635E0,1.122061799E1
1.238195833E-1,1.829345856E0,9.403595123E0,9.531129913E0,1.351356892E1
1.337605833E-1,1.495540009E0,1.113085327E1,1.037028488E1,1.528644311E1
1.437015833E-1,1.873653717E0,1.210338089E1,1.226025467E1,1.732963507E1
1.536435833E-1,3.931723938E0,1.183738403E1,1.531944305E1,1.975518791E1
1.635845833E-1,6.627617798E0,1.113684082E1,1.876213394E1,2.280289918E1
1.735255833E-1,7.463030548E0,1.081695602E1,2.057920532E1,2.441735150E1
1.834665833E-1,4.559817810E0,1.082818268E1,1.821951233E1,2.167930137E1
1.934075833E-1,1.475930786E0,1.010009674E1,1.284688477E1,1.640831417E1
2.033485833E-1,-1.183289337E0,8.670120392E0,8.808283081E0,1.241599823E1
2.132895833E-1,-1.962868195E0,7.381150818E0,8.158334656E0,1.117553861E1
2.232305833E-1,-1.170416107E0,5.793252869E0,1.057221497E1,1.211211715E1
