"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.734000016E-3,3.505859528E0,4.938530273E0,6.887028351E0,9.171220845E0
1.467599999E-2,3.061284027E0,5.023553467E0,7.110962677E0,9.228940325E0
2.461800000E-2,2.770887909E0,5.120551758E0,7.253316650E0,9.300993094E0
3.456000000E-2,2.592758331E0,5.116210785E0,7.466024323E0,9.414856756E0
4.450200000E-2,2.431393890E0,5.293591919E0,7.651338959E0,9.616484780E0
5.444400001E-2,2.701282654E0,5.350922699E0,8.194409637E0,1.015271644E1
6.438600001E-2,3.385509796E0,5.400319977E0,8.858578491E0,1.091327381E1
7.432800002E-2,3.340752869E0,5.524711304E0,8.844507751E0,1.095026859E1
8.426999999E-2,2.630030823E0,5.586383057E0,8.549171906E0,1.054576114E1
9.421200000E-2,1.875150604E0,5.392985229E0,8.375832367E0,1.013681643E1
1.041540000E-1,5.990542603E-1,4.818629608E0,7.744145966E0,9.140560926E0
1.140960000E-1,5.111869812E-1,4.332440643E0,7.481891327E0,8.660834364E0
1.240380000E-1,1.999242554E0,5.127587128E0,8.084538116E0,9.780024391E0
1.339800000E-1,2.664309540E0,7.136409760E0,8.106542358E0,1.112397944E1
1.439220000E-1,1.956431580E0,6.127807159E0,7.464976501E0,9.854111795E0
1.538640000E-1,1.839973755E0,5.596412201E0,7.459737396E0,9.505420294E0
1.638060000E-1,1.471589813E0,5.135221252E0,7.142846375E0,8.919435420E0
1.737480000E-1,8.270301819E-1,4.888534241E0,6.469247131E0,8.150638281E0
1.836900000E-1,1.098715210E-1,4.718338165E0,6.193520508E0,7.786814694E0
1.936320000E-1,-1.984872437E-1,4.305197296E0,6.618037720E0,7.897629024E0
2.035740000E-1,2.978805542E-2,3.882326660E0,7.771988068E0,8.687758408E0
2.135160000E-1,-2.580633545E-1,3.842958527E0,8.212521973E0,9.070856855E0
2.234580000E-1,-9.481283569E-1,4.037404175E0,7.839347992E0,8.868762980E0
2.334000000E-1,-6.521937561E-1,3.821702728E0,8.684939575E0,9.510990688E0
2.433420000E-1,-9.726773071E-1,3.670217743E0,9.016500092E0,9.783346734E0
2.532840000E-1,-9.638456726E-1,3.304079132E0,9.338181152E0,9.952264296E0
2.632260000E-1,-9.877958679E-1,2.896626434E0,9.494306488E0,9.975371726E0
2.731680000E-1,-1.555116119E0,2.444117432E0,9.023385773E0,9.477003058E0
2.831100000E-1,-2.484234009E0,1.929188232E0,8.173902283E0,8.758188418E0
2.930520000E-1,-3.842808838E0,1.613195343E0,5.938450928E0,7.254983005E0
3.029940000E-1,-4.070635071E0,2.732118530E0,5.777086487E0,7.576890511E0
3.129360000E-1,-2.879711609E0,4.394411774E0,7.147935791E0,8.871109280E0
3.228778333E-1,-1.793719940E0,4.764442291E0,7.661368103E0,9.198581564E0
3.328198333E-1,-1.297651520E0,4.421206055E0,7.461982727E0,8.769957164E0
3.427618333E-1,-9.562115479E-1,4.053720245E0,7.063361664E0,8.199882093E0
3.527038333E-1,-9.910890198E-1,3.416495361E0,6.960226135E0,7.816613452E0
3.626458333E-1,-1.991458740E0,3.752097473E0,6.621181183E0,7.866650089E0
3.725878333E-1,-2.849025421E0,2.850372620E0,5.445076904E0,6.774247738E0
3.825298333E-1,-4.316573639E0,3.886967010E0,4.068090363E0,7.091592185E0
3.924718333E-1,-4.854405212E0,5.271887054E0,2.547702026E0,7.605841748E0
4.024138333E-1,-4.991969147E0,5.157075806E0,9.102571106E-1,7.234898398E0
4.123558333E-1,-5.586532745E0,4.965324554E0,-2.369572449E-1,7.477963946E0
4.222978333E-1,-5.735173645E0,4.653522949E0,1.535806274E-1,7.387224079E0
4.322398333E-1,-5.688470764E0,4.058061218E0,1.647773438E0,7.179256075E0
4.421818334E-1,-4.797673187E0,2.855012970E0,3.476969604E0,6.577087859E0
4.521238333E-1,-3.258274384E0,1.263522491E0,6.182144165E0,7.101531351E0
4.620658333E-1,-4.639003143E0,1.302291870E-1,8.018076324E0,9.264278588E0
4.720078333E-1,-6.536607056E0,6.310876465E-1,7.216343536E0,9.757105998E0
4.819498333E-1,-6.607858887E0,1.555265808E0,6.842720490E0,9.638748596E0
4.918918333E-1,-5.618865509E0,1.954785004E0,6.375092926E0,8.719784621E0
